DATAFLOW,LAST UPDATE,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2009,77.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2010,75.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2011,76.3,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2012,78.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2013,76.6,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2014,75.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2015,76.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2016,75.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2017,76.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2018,75.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2019,74.5,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2020,77.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BE:Belgium,2021,76.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BG:Bulgaria,2006,94.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BG:Bulgaria,2007,96.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BG:Bulgaria,2008,85.4,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BG:Bulgaria,2009,85.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BG:Bulgaria,2010,86.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BG:Bulgaria,2011,84.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BG:Bulgaria,2012,84.3,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BG:Bulgaria,2013,84.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BG:Bulgaria,2014,84.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BG:Bulgaria,2015,83.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BG:Bulgaria,2016,86.0,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BG:Bulgaria,2017,84.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BG:Bulgaria,2018,86.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BG:Bulgaria,2019,86.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BG:Bulgaria,2020,87.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,BG:Bulgaria,2021,86.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CH:Switzerland,2007,75.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CH:Switzerland,2008,76.3,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CH:Switzerland,2009,74.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CH:Switzerland,2010,74.6,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CH:Switzerland,2011,76.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CH:Switzerland,2012,79.6,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CH:Switzerland,2013,68.7,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CH:Switzerland,2014,66.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CH:Switzerland,2015,67.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CH:Switzerland,2016,67.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CH:Switzerland,2017,69.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CH:Switzerland,2018,69.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CH:Switzerland,2019,69.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CH:Switzerland,2020,71.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CH:Switzerland,2021,69.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2005,72.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2006,77.2,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2007,76.5,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2008,77.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2009,78.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2010,76.5,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2011,73.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2012,76.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2013,76.5,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2014,78.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2015,75.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2016,81.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2017,78.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2018,73.6,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2019,74.6,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2020,74.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CY:Cyprus,2021,80.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2005,75.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2006,75.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2007,78.9,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2008,78.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2009,77.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2010,79.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2011,78.5,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2012,78.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2013,79.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2014,79.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2015,78.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2016,78.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2017,76.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2018,77.3,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2019,76.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2020,76.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,CZ:Czechia,2021,78.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2005,66.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2006,70.8,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2007,70.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2008,69.7,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2009,70.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2010,70.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2011,70.6,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2012,69.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2013,68.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2014,67.6,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2015,81.2,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2016,80.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2017,80.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2018,79.6,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2019,80.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2020,79.9,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DE:Germany,2021,79.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2004,86.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2005,85.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2006,83.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2007,83.6,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2008,75.1,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2009,74.5,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2010,75.5,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2011,73.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2012,74.9,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2013,73.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2014,74.2,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2015,69.7,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2016,72.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2017,71.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2018,71.3,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2019,70.4,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2020,69.1,b
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,DK:Denmark,2021,65.8,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,EE:Estonia,2004,69.0,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,EE:Estonia,2005,67.1,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,EE:Estonia,2006,68.6,
ESTAT:HLTH_HLYE(1.0),12/06/23 23:00:00,A:Annual,PC:Percentage,F:Females,HLY_PC_0:Healthy life years at birth in percentage of the total life expectancy,EE:Estonia,2007,69.5,
