,Unnamed: 0,metroreg,year,unit,gdp,area,population,dfunemp_sex,dfunemp_age,unemployment,iccs,Nr_Crimes,metroreg_d,metroreg_type,iccs_d,country,crimes,density,crime/population_log,density_log,unemp_log,gdp_log
43,1399,AT001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,8817.0,2873995.0,T:Total,Y15-74:From 15 to 74 years,122.9,ICCS050211,447,Wien,M,Theft of a motorized land vehicle,AT,155.53262966706623,32.59606442100488,5.046855546693809,5.786776650797007,4.811371016571989,4.882801922586371
47,1455,AT002M,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,3479.0,605496.0,T:Total,Y15-24:From 15 to 24 years,3.4,ICCS050211,99,Graz,M,Theft of a motorized land vehicle,AT,163.50231876015695,17.404311583788445,5.096827172256053,5.159303060690869,1.2237754316221157,4.897839799950911
51,1511,AT002M,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",131.0,3479.0,613859.0,T:Total,Y15-24:From 15 to 24 years,4.2,ICCS050211,174,Graz,M,Theft of a motorized land vehicle,AT,283.4527147113588,17.644696751940213,5.647045318115026,5.173020363911835,1.4350845252893227,4.875197323201151
55,1567,AT002M,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,3479.0,622911.0,T:Total,Y15-24:From 15 to 24 years,4.5,ICCS050211,154,Graz,M,Theft of a motorized land vehicle,AT,247.2263292829955,17.904886461626905,5.510304229956224,5.187658755269737,1.5040773967762742,4.882801922586371
59,1675,AT002M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",130.0,3479.0,629161.0,T:Total,Y15-24:From 15 to 24 years,3.3,ICCS050211,146,Graz,M,Theft of a motorized land vehicle,AT,232.0550701648704,18.084535786145445,5.44697471489848,5.1976422896221885,1.1939224684724346,4.867534450455582
63,1679,AT002M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",130.0,3479.0,629161.0,T:Total,Y15-74:From 15 to 74 years,16.6,ICCS050211,146,Graz,M,Theft of a motorized land vehicle,AT,232.0550701648704,18.084535786145445,5.44697471489848,5.1976422896221885,2.8094026953624978,4.867534450455582
67,1787,AT002M,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",128.0,3479.0,633336.0,T:Total,Y15-24:From 15 to 24 years,3.0,ICCS050211,109,Graz,M,Theft of a motorized land vehicle,AT,172.10453850720629,18.204541534923827,5.148102074207407,5.2042561908340685,1.0986122886681098,4.852030263919617
71,1791,AT002M,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",128.0,3479.0,633336.0,T:Total,Y15-74:From 15 to 74 years,14.8,ICCS050211,109,Graz,M,Theft of a motorized land vehicle,AT,172.10453850720629,18.204541534923827,5.148102074207407,5.2042561908340685,2.694627180770069,4.852030263919617
79,1903,AT002M,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",129.0,3479.0,637532.0,T:Total,Y15-74:From 15 to 74 years,12.1,ICCS050211,122,Graz,M,Theft of a motorized land vehicle,AT,191.36294335029456,18.3251509054326,5.254171851864162,5.210859575681427,2.4932054526026954,4.859812404361672
83,2011,AT002M,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",129.0,3479.0,642134.0,T:Total,Y15-24:From 15 to 24 years,3.8,ICCS050211,69,Graz,M,Theft of a motorized land vehicle,AT,107.4542073772764,18.45743029606209,4.677064778927563,5.218052108482028,1.33500106673234,4.859812404361672
87,2015,AT002M,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",129.0,3479.0,642134.0,T:Total,Y15-74:From 15 to 74 years,16.4,ICCS050211,69,Graz,M,Theft of a motorized land vehicle,AT,107.4542073772764,18.45743029606209,4.677064778927563,5.218052108482028,2.797281334830153,4.859812404361672
91,2071,AT003M,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",145.0,4404.0,765295.0,T:Total,Y15-24:From 15 to 24 years,4.6,ICCS050211,85,Linz,M,Theft of a motorized land vehicle,AT,111.06828085901516,17.377270663033606,4.710145155063521,5.157748161548499,1.5260563034950492,4.976733742420574
95,2127,AT003M,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",144.0,4404.0,772849.0,T:Total,Y15-24:From 15 to 24 years,5.2,ICCS050211,119,Linz,M,Theft of a motorized land vehicle,AT,153.9757442915757,17.548796548592186,5.036795085408319,5.1675704678249135,1.6486586255873816,4.969813299576001
99,2183,AT003M,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",142.0,4404.0,782926.0,T:Total,Y15-24:From 15 to 24 years,4.4,ICCS050211,145,Linz,M,Theft of a motorized land vehicle,AT,185.20268837667928,17.777611262488648,5.221450838179504,5.180524964362774,1.4816045409242156,4.955827057601261
103,2291,AT003M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",140.0,4404.0,789811.0,T:Total,Y15-24:From 15 to 24 years,4.0,ICCS050211,106,Linz,M,Theft of a motorized land vehicle,AT,134.20932349638076,17.933946412352405,4.899400696762041,5.189280457471729,1.3862943611198906,4.941642422609304
107,2295,AT003M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",140.0,4404.0,789811.0,T:Total,Y15-74:From 15 to 74 years,17.7,ICCS050211,106,Linz,M,Theft of a motorized land vehicle,AT,134.20932349638076,17.933946412352405,4.899400696762041,5.189280457471729,2.873564639579784,4.941642422609304
111,2403,AT003M,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,4404.0,795512.0,T:Total,Y15-24:From 15 to 24 years,3.9,ICCS050211,142,Linz,M,Theft of a motorized land vehicle,AT,178.5013928136848,18.063396911898273,5.184596404067038,5.196472713655927,1.3609765531356006,4.948759890378168
115,2407,AT003M,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,4404.0,795512.0,T:Total,Y15-74:From 15 to 74 years,14.6,ICCS050211,142,Linz,M,Theft of a motorized land vehicle,AT,178.5013928136848,18.063396911898273,5.184596404067038,5.196472713655927,2.681021528714291,4.948759890378168
119,2515,AT003M,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",139.0,4404.0,801085.0,T:Total,Y15-24:From 15 to 24 years,3.1,ICCS050211,156,Linz,M,Theft of a motorized land vehicle,AT,194.73588944993352,18.189940962761124,5.271644227440055,5.203453839931186,1.1314021114911006,4.934473933130692
123,2519,AT003M,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",139.0,4404.0,801085.0,T:Total,Y15-74:From 15 to 74 years,13.2,ICCS050211,156,Linz,M,Theft of a motorized land vehicle,AT,194.73588944993352,18.189940962761124,5.271644227440055,5.203453839931186,2.580216829592325,4.934473933130692
127,2627,AT003M,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",139.0,4404.0,805770.0,T:Total,Y15-24:From 15 to 24 years,4.9,ICCS050211,106,Linz,M,Theft of a motorized land vehicle,AT,131.55118706330592,18.29632152588556,4.87939603111192,5.209285123121851,1.589235205116581,4.934473933130692
131,2631,AT003M,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",139.0,4404.0,805770.0,T:Total,Y15-74:From 15 to 74 years,17.5,ICCS050211,106,Linz,M,Theft of a motorized land vehicle,AT,131.55118706330592,18.29632152588556,4.87939603111192,5.209285123121851,2.862200880929469,4.934473933130692
151,2911,AT004M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",164.0,1738.0,362042.0,T:Total,Y15-74:From 15 to 74 years,5.8,ICCS050211,87,Salzburg,M,Theft of a motorized land vehicle,AT,240.30361118323287,20.83095512082854,5.481903170441545,5.339025200351975,1.7578579175523736,5.099866427824199
159,3023,AT004M,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",162.0,1738.0,364797.0,T:Total,Y15-74:From 15 to 74 years,5.2,ICCS050211,108,Salzburg,M,Theft of a motorized land vehicle,AT,296.05506624232106,20.98947065592635,5.690545471624206,5.346606007638951,1.6486586255873816,5.087596335232384
167,3135,AT004M,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",162.0,1738.0,366866.0,T:Total,Y15-74:From 15 to 74 years,4.5,ICCS050211,90,Salzburg,M,Theft of a motorized land vehicle,AT,245.3211799403597,21.108515535097812,5.502568290547128,5.352261631922074,1.5040773967762742,5.087596335232384
175,3247,AT004M,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",161.0,1738.0,369337.0,T:Total,Y15-74:From 15 to 74 years,5.3,ICCS050211,70,Salzburg,M,Theft of a motorized land vehicle,AT,189.52880431692464,21.250690448791715,5.244541014643823,5.3589744795444725,1.667706820558076,5.081404364984463
195,3527,AT005M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,2095.0,308290.0,T:Total,Y15-74:From 15 to 74 years,5.1,ICCS050211,66,Innsbruck,M,Theft of a motorized land vehicle,AT,214.08414155502936,14.715513126491647,5.366369122581535,4.991487345052927,1.62924053973028,4.897839799950911
203,3639,AT005M,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,2095.0,310297.0,T:Total,Y15-74:From 15 to 74 years,3.7,ICCS050211,77,Innsbruck,M,Theft of a motorized land vehicle,AT,248.1493536837288,14.811312649164677,5.514030797491387,4.997976349970332,1.308332819650179,4.897839799950911
211,3751,AT005M,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",133.0,2095.0,311428.0,T:Total,Y15-74:From 15 to 74 years,3.1,ICCS050211,53,Innsbruck,M,Theft of a motorized land vehicle,AT,170.18379850238256,14.865298329355607,5.136879020670506,5.001614618489652,1.1314021114911006,4.890349128221754
219,3863,AT005M,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",130.0,2095.0,312414.0,T:Total,Y15-74:From 15 to 74 years,4.4,ICCS050211,44,Innsbruck,M,Theft of a motorized land vehicle,AT,140.83875882642903,14.912362768496418,4.9476156815984105,5.004775677927886,1.4816045409242156,4.867534450455582
223,3919,AT_NM,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",116.0,63345.0,3811221.0,T:Total,Y15-24:From 15 to 24 years,23.1,ICCS050211,351,Non-metropolitan regions in Austria,N,Theft of a motorized land vehicle,AT,92.09646987146638,6.016609045702108,4.522836613226636,4.097108912167351,3.139832617527748,4.7535901911063645
227,3975,AT_NM,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",115.0,63345.0,3824928.0,T:Total,Y15-24:From 15 to 24 years,22.5,ICCS050211,681,Non-metropolitan regions in Austria,N,Theft of a motorized land vehicle,AT,178.0425670757724,6.038247691214776,5.18202266257759,4.100698945500043,3.1135153092103742,4.74493212836325
231,4031,AT_NM,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",114.0,63345.0,3854796.0,T:Total,Y15-24:From 15 to 24 years,23.2,ICCS050211,724,Non-metropolitan regions in Austria,N,Theft of a motorized land vehicle,AT,187.8179805105121,6.085399005446365,5.235473305058584,4.1084773892552535,3.1441522786722644,4.736198448394496
235,4139,AT_NM,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",114.0,63345.0,3872375.0,T:Total,Y15-24:From 15 to 24 years,19.9,ICCS050211,687,Non-metropolitan regions in Austria,N,Theft of a motorized land vehicle,AT,177.41050388973176,6.1131502091719945,5.178466278324043,4.113027315826426,2.990719731730447,4.736198448394496
239,4143,AT_NM,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",114.0,63345.0,3872375.0,T:Total,Y15-74:From 15 to 74 years,81.6,ICCS050211,687,Non-metropolitan regions in Austria,N,Theft of a motorized land vehicle,AT,177.41050388973176,6.1131502091719945,5.178466278324043,4.113027315826426,4.401829261970061,4.736198448394496
243,4251,AT_NM,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",114.0,63345.0,3879767.0,T:Total,Y15-24:From 15 to 24 years,16.1,ICCS050211,739,Non-metropolitan regions in Austria,N,Theft of a motorized land vehicle,AT,190.4753558654424,6.124819638487647,5.249522820662578,4.114934402213745,2.778819271990417,4.736198448394496
247,4255,AT_NM,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",114.0,63345.0,3879767.0,T:Total,Y15-74:From 15 to 74 years,67.1,ICCS050211,739,Non-metropolitan regions in Austria,N,Theft of a motorized land vehicle,AT,190.4753558654424,6.124819638487647,5.249522820662578,4.114934402213745,4.206184043977636,4.736198448394496
251,4363,AT_NM,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",112.0,63345.0,3887961.0,T:Total,Y15-24:From 15 to 24 years,15.7,ICCS050211,774,Non-metropolitan regions in Austria,N,Theft of a motorized land vehicle,AT,199.07607097910704,6.137755150367037,5.293687017906041,4.117044157611806,2.7536607123542622,4.718498871295094
255,4367,AT_NM,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",112.0,63345.0,3887961.0,T:Total,Y15-74:From 15 to 74 years,62.9,ICCS050211,774,Non-metropolitan regions in Austria,N,Theft of a motorized land vehicle,AT,199.07607097910704,6.137755150367037,5.293687017906041,4.117044157611806,4.141546163706395,4.718498871295094
259,4475,AT_NM,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",112.0,63345.0,3897414.0,T:Total,Y15-24:From 15 to 24 years,20.5,ICCS050211,546,Non-metropolitan regions in Austria,N,Theft of a motorized land vehicle,AT,140.0928923640137,6.152678190859579,4.942305719465112,4.119472558207915,3.0204248861443626,4.718498871295094
263,4479,AT_NM,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",112.0,63345.0,3897414.0,T:Total,Y15-74:From 15 to 74 years,77.0,ICCS050211,546,Non-metropolitan regions in Austria,N,Theft of a motorized land vehicle,AT,140.0928923640137,6.152678190859579,4.942305719465112,4.119472558207915,4.343805421853684,4.718498871295094
267,5675,BE001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",150.0,2681.0,3246784.0,T:Total,Y15-24:From 15 to 24 years,18.9,ICCS050211,3440,Bruxelles / Brussel,M,Theft of a motorized land vehicle,BE,1059.509964321618,121.10346885490489,6.96556178240374,7.099230387692018,2.9391619220655967,5.010635294096256
271,5679,BE001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",150.0,2681.0,3246784.0,T:Total,Y15-29:From 15 to 29 years,38.9,ICCS050211,3440,Bruxelles / Brussel,M,Theft of a motorized land vehicle,BE,1059.509964321618,121.10346885490489,6.96556178240374,7.099230387692018,3.6609942506244,5.010635294096256
275,5683,BE001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",150.0,2681.0,3246784.0,T:Total,Y15-74:From 15 to 74 years,127.3,ICCS050211,3440,Bruxelles / Brussel,M,Theft of a motorized land vehicle,BE,1059.509964321618,121.10346885490489,6.96556178240374,7.099230387692018,4.846546505563361,5.010635294096256
279,5843,BE001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",149.0,2681.0,3265847.0,T:Total,Y15-24:From 15 to 24 years,17.3,ICCS050211,3043,Bruxelles / Brussel,M,Theft of a motorized land vehicle,BE,931.7644090491684,121.81450951137636,6.837080002741182,7.105084566884104,2.8507065015037334,5.003946305945459
283,5847,BE001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",149.0,2681.0,3265847.0,T:Total,Y15-29:From 15 to 29 years,34.2,ICCS050211,3043,Bruxelles / Brussel,M,Theft of a motorized land vehicle,BE,931.7644090491684,121.81450951137636,6.837080002741182,7.105084566884104,3.53222564406856,5.003946305945459
287,5851,BE001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",149.0,2681.0,3265847.0,T:Total,Y15-74:From 15 to 74 years,111.7,ICCS050211,3043,Bruxelles / Brussel,M,Theft of a motorized land vehicle,BE,931.7644090491684,121.81450951137636,6.837080002741182,7.105084566884104,4.715816706075155,5.003946305945459
291,6011,BE001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",150.0,2681.0,3290046.0,T:Total,Y15-24:From 15 to 24 years,18.7,ICCS050211,2982,Bruxelles / Brussel,M,Theft of a motorized land vehicle,BE,906.370306068669,122.71712047743381,6.809447948882229,7.11246696617077,2.928523523860541,5.010635294096256
295,6015,BE001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",150.0,2681.0,3290046.0,T:Total,Y15-29:From 15 to 29 years,35.3,ICCS050211,2982,Bruxelles / Brussel,M,Theft of a motorized land vehicle,BE,906.370306068669,122.71712047743381,6.809447948882229,7.11246696617077,3.563882963939251,5.010635294096256
299,6019,BE001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",150.0,2681.0,3290046.0,T:Total,Y15-74:From 15 to 74 years,105.1,ICCS050211,2982,Bruxelles / Brussel,M,Theft of a motorized land vehicle,BE,906.370306068669,122.71712047743381,6.809447948882229,7.11246696617077,4.6549122778829055,5.010635294096256
303,6179,BE001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",148.0,2681.0,3314298.0,T:Total,Y15-24:From 15 to 24 years,19.1,ICCS050211,2278,Bruxelles / Brussel,M,Theft of a motorized land vehicle,BE,687.3250383640819,123.62170831779187,6.532807307500495,7.119811256234947,2.9496883350525844,4.997212273764115
307,6183,BE001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",148.0,2681.0,3314298.0,T:Total,Y15-29:From 15 to 29 years,36.0,ICCS050211,2278,Bruxelles / Brussel,M,Theft of a motorized land vehicle,BE,687.3250383640819,123.62170831779187,6.532807307500495,7.119811256234947,3.58351893845611,4.997212273764115
311,6187,BE001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",148.0,2681.0,3314298.0,T:Total,Y15-74:From 15 to 74 years,108.5,ICCS050211,2278,Bruxelles / Brussel,M,Theft of a motorized land vehicle,BE,687.3250383640819,123.62170831779187,6.532807307500495,7.119811256234947,4.686750172980514,4.997212273764115
315,6243,BE002M,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",148.0,1004.0,1024987.0,T:Total,Y15-24:From 15 to 24 years,5.1,ICCS050211,1240,Antwerpen,M,Theft of a motorized land vehicle,BE,1209.771441003642,102.09033864541831,7.0981867290159695,6.928443187295713,1.62924053973028,4.997212273764115
319,6299,BE002M,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",150.0,1004.0,1030055.0,T:Total,Y15-24:From 15 to 24 years,7.0,ICCS050211,1194,Antwerpen,M,Theft of a motorized land vehicle,BE,1159.1614040026989,102.59511952191235,7.055452095078376,6.933375456586771,1.9459101490553128,5.010635294096256
323,6459,BE002M,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",148.0,1004.0,1036031.0,T:Total,Y15-24:From 15 to 24 years,7.1,ICCS050211,1018,Antwerpen,M,Theft of a motorized land vehicle,BE,982.5960806192091,103.19033864541832,6.890198130940932,6.939160323882136,1.9600947840472696,4.997212273764115
327,6463,BE002M,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",148.0,1004.0,1036031.0,T:Total,Y15-29:From 15 to 29 years,11.7,ICCS050211,1018,Antwerpen,M,Theft of a motorized land vehicle,BE,982.5960806192091,103.19033864541832,6.890198130940932,6.939160323882136,2.4595888418037104,4.997212273764115
331,6467,BE002M,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",148.0,1004.0,1036031.0,T:Total,Y15-74:From 15 to 74 years,32.3,ICCS050211,1018,Antwerpen,M,Theft of a motorized land vehicle,BE,982.5960806192091,103.19033864541832,6.890198130940932,6.939160323882136,3.475067230228611,4.997212273764115
335,6627,BE002M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",146.0,1004.0,1041811.0,T:Total,Y15-24:From 15 to 24 years,6.0,ICCS050211,882,Antwerpen,M,Theft of a motorized land vehicle,BE,846.602694730618,103.7660358565737,6.741231511085086,6.9447238026343046,1.791759469228055,4.983606621708336
