,metroreg,TIME_PERIOD,unit,gdp,area,population,dfunemp_sex,dfunemp_age,unemp per Tsd.,iccs,Nr_Crimes,metroreg_d,metroreg_type,iccs_d,country,crime/population,density,crime/population_log,density_log,unemp_log,gdp_log
950,AT001MC,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,8817.0,2775368.0,T:Total,Y15-24:From 15 to 24 years,28.1,ICCS05012,7327,Wien,M,Burglary of private residential premises,AT,2640.0102617022317,314.7746399001928,7.878538083141229,5.751856953895983,3.3357695763397,4.948759890378168
951,AT001MC,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,8817.0,2775368.0,T:Total,Y15-24:From 15 to 24 years,28.1,ICCS050211,561,Wien,M,Theft of a motorized land vehicle,AT,202.13535646444004,314.7746399001928,5.308937554503961,5.751856953895983,3.3357695763397,4.948759890378168
1056,AT001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2811186.0,T:Total,Y15-24:From 15 to 24 years,22.4,ICCS0101,18,Wien,M,Intentional homicide,AT,6.402991477618343,318.83701939435184,1.856765299537551,5.764680061235861,3.109060958860994,4.912654885736052
1057,AT001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2811186.0,T:Total,Y15-24:From 15 to 24 years,22.4,ICCS0401,1685,Wien,M,Robbery,AT,599.3911466548283,318.83701939435184,6.395914384427848,5.764680061235861,3.109060958860994,4.912654885736052
1058,AT001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2811186.0,T:Total,Y15-24:From 15 to 24 years,22.4,ICCS05012,6678,Wien,M,Burglary of private residential premises,AT,2375.509838196406,318.83701939435184,7.772967362144986,5.764680061235861,3.109060958860994,4.912654885736052
1059,AT001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2811186.0,T:Total,Y15-24:From 15 to 24 years,22.4,ICCS050211,474,Wien,M,Theft of a motorized land vehicle,AT,168.61210891061637,318.83701939435184,5.127600863336463,5.764680061235861,3.109060958860994,4.912654885736052
1060,AT001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2811186.0,T:Total,Y15-74:From 15 to 74 years,121.1,ICCS0101,18,Wien,M,Intentional homicide,AT,6.402991477618343,318.83701939435184,1.856765299537551,5.764680061235861,4.796616650559047,4.912654885736052
1061,AT001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2811186.0,T:Total,Y15-74:From 15 to 74 years,121.1,ICCS0401,1685,Wien,M,Robbery,AT,599.3911466548283,318.83701939435184,6.395914384427848,5.764680061235861,4.796616650559047,4.912654885736052
1062,AT001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2811186.0,T:Total,Y15-74:From 15 to 74 years,121.1,ICCS05012,6678,Wien,M,Burglary of private residential premises,AT,2375.509838196406,318.83701939435184,7.772967362144986,5.764680061235861,4.796616650559047,4.912654885736052
1063,AT001MC,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2811186.0,T:Total,Y15-74:From 15 to 74 years,121.1,ICCS050211,474,Wien,M,Theft of a motorized land vehicle,AT,168.61210891061637,318.83701939435184,5.127600863336463,5.764680061235861,4.796616650559047,4.912654885736052
1168,AT001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2838558.0,T:Total,Y15-24:From 15 to 24 years,24.4,ICCS0101,41,Wien,M,Intentional homicide,AT,14.443953584883593,321.94147669275264,2.67027588995696,5.774369779624595,3.1945831322991562,4.912654885736052
1169,AT001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2838558.0,T:Total,Y15-24:From 15 to 24 years,24.4,ICCS0401,1474,Wien,M,Robbery,AT,519.2777459541077,321.94147669275264,6.252438896001934,5.774369779624595,3.1945831322991562,4.912654885736052
1170,AT001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2838558.0,T:Total,Y15-24:From 15 to 24 years,24.4,ICCS05012,4761,Wien,M,Burglary of private residential premises,AT,1677.2600736007507,321.94147669275264,7.42491683244717,5.774369779624595,3.1945831322991562,4.912654885736052
1171,AT001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2838558.0,T:Total,Y15-24:From 15 to 24 years,24.4,ICCS050211,408,Wien,M,Theft of a motorized land vehicle,AT,143.7349527471343,321.94147669275264,4.967970997656813,5.774369779624595,3.1945831322991562,4.912654885736052
1172,AT001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2838558.0,T:Total,Y15-74:From 15 to 74 years,114.6,ICCS0101,41,Wien,M,Intentional homicide,AT,14.443953584883593,321.94147669275264,2.67027588995696,5.774369779624595,4.741447804280639,4.912654885736052
1173,AT001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2838558.0,T:Total,Y15-74:From 15 to 74 years,114.6,ICCS0401,1474,Wien,M,Robbery,AT,519.2777459541077,321.94147669275264,6.252438896001934,5.774369779624595,4.741447804280639,4.912654885736052
1174,AT001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2838558.0,T:Total,Y15-74:From 15 to 74 years,114.6,ICCS05012,4761,Wien,M,Burglary of private residential premises,AT,1677.2600736007507,321.94147669275264,7.42491683244717,5.774369779624595,4.741447804280639,4.912654885736052
1175,AT001MC,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,8817.0,2838558.0,T:Total,Y15-74:From 15 to 74 years,114.6,ICCS050211,408,Wien,M,Theft of a motorized land vehicle,AT,143.7349527471343,321.94147669275264,4.967970997656813,5.774369779624595,4.741447804280639,4.912654885736052
1280,AT001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,8817.0,2853903.0,T:Total,Y15-24:From 15 to 24 years,20.4,ICCS0101,32,Wien,M,Intentional homicide,AT,11.212714657786197,323.681864579789,2.417048371708791,5.779761133968183,3.0155349008501706,4.897839799950911
1281,AT001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,8817.0,2853903.0,T:Total,Y15-24:From 15 to 24 years,20.4,ICCS0401,1607,Wien,M,Robbery,AT,563.0885142207005,323.681864579789,6.333436834646577,5.779761133968183,3.0155349008501706,4.897839799950911
1282,AT001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,8817.0,2853903.0,T:Total,Y15-24:From 15 to 24 years,20.4,ICCS05012,4843,Wien,M,Burglary of private residential premises,AT,1696.9742839893297,323.681864579789,7.436602111312293,5.779761133968183,3.0155349008501706,4.897839799950911
1283,AT001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,8817.0,2853903.0,T:Total,Y15-24:From 15 to 24 years,20.4,ICCS050211,433,Wien,M,Theft of a motorized land vehicle,AT,151.72204521316948,323.681864579789,5.022050196911554,5.779761133968183,3.0155349008501706,4.897839799950911
1284,AT001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,8817.0,2853903.0,T:Total,Y15-74:From 15 to 74 years,108.7,ICCS0101,32,Wien,M,Intentional homicide,AT,11.212714657786197,323.681864579789,2.417048371708791,5.779761133968183,4.688591794127164,4.897839799950911
1285,AT001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,8817.0,2853903.0,T:Total,Y15-74:From 15 to 74 years,108.7,ICCS0401,1607,Wien,M,Robbery,AT,563.0885142207005,323.681864579789,6.333436834646577,5.779761133968183,4.688591794127164,4.897839799950911
1286,AT001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,8817.0,2853903.0,T:Total,Y15-74:From 15 to 74 years,108.7,ICCS05012,4843,Wien,M,Burglary of private residential premises,AT,1696.9742839893297,323.681864579789,7.436602111312293,5.779761133968183,4.688591794127164,4.897839799950911
1287,AT001MC,2019,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,8817.0,2853903.0,T:Total,Y15-74:From 15 to 74 years,108.7,ICCS050211,433,Wien,M,Theft of a motorized land vehicle,AT,151.72204521316948,323.681864579789,5.022050196911554,5.779761133968183,4.688591794127164,4.897839799950911
1392,AT001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,8817.0,2873995.0,T:Total,Y15-24:From 15 to 24 years,20.8,ICCS0101,18,Wien,M,Intentional homicide,AT,6.263058912767768,325.96064421004877,1.8346687099764052,5.786776650797007,3.0349529867072724,4.882801922586371
1393,AT001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,8817.0,2873995.0,T:Total,Y15-24:From 15 to 24 years,20.8,ICCS0401,1269,Wien,M,Robbery,AT,441.5456533501276,325.96064421004877,6.0902814197946284,5.786776650797007,3.0349529867072724,4.882801922586371
1394,AT001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,8817.0,2873995.0,T:Total,Y15-24:From 15 to 24 years,20.8,ICCS05012,3213,Wien,M,Burglary of private residential premises,AT,1117.9560159290465,325.96064421004877,7.019257311196099,5.786776650797007,3.0349529867072724,4.882801922586371
1395,AT001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,8817.0,2873995.0,T:Total,Y15-24:From 15 to 24 years,20.8,ICCS050211,447,Wien,M,Theft of a motorized land vehicle,AT,155.53262966706623,325.96064421004877,5.046855546693809,5.786776650797007,3.0349529867072724,4.882801922586371
1396,AT001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,8817.0,2873995.0,T:Total,Y15-74:From 15 to 74 years,122.9,ICCS0101,18,Wien,M,Intentional homicide,AT,6.263058912767768,325.96064421004877,1.8346687099764052,5.786776650797007,4.811371016571989,4.882801922586371
1397,AT001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,8817.0,2873995.0,T:Total,Y15-74:From 15 to 74 years,122.9,ICCS0401,1269,Wien,M,Robbery,AT,441.5456533501276,325.96064421004877,6.0902814197946284,5.786776650797007,4.811371016571989,4.882801922586371
1398,AT001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,8817.0,2873995.0,T:Total,Y15-74:From 15 to 74 years,122.9,ICCS05012,3213,Wien,M,Burglary of private residential premises,AT,1117.9560159290465,325.96064421004877,7.019257311196099,5.786776650797007,4.811371016571989,4.882801922586371
1399,AT001MC,2020,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,8817.0,2873995.0,T:Total,Y15-74:From 15 to 74 years,122.9,ICCS050211,447,Wien,M,Theft of a motorized land vehicle,AT,155.53262966706623,325.96064421004877,5.046855546693809,5.786776650797007,4.811371016571989,4.882801922586371
1452,AT002M,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,3479.0,605496.0,T:Total,Y15-24:From 15 to 24 years,3.4,ICCS0101,3,Graz,M,Intentional homicide,AT,4.954615720004757,174.04311583788444,1.6003196107895727,5.159303060690869,1.2237754316221157,4.897839799950911
1453,AT002M,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,3479.0,605496.0,T:Total,Y15-24:From 15 to 24 years,3.4,ICCS0401,150,Graz,M,Robbery,AT,247.7307860002378,174.04311583788444,5.512342616217719,5.159303060690869,1.2237754316221157,4.897839799950911
1454,AT002M,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,3479.0,605496.0,T:Total,Y15-24:From 15 to 24 years,3.4,ICCS05012,847,Graz,M,Burglary of private residential premises,AT,1398.8531716146763,174.04311583788444,7.243408016773517,5.159303060690869,1.2237754316221157,4.897839799950911
1455,AT002M,2014,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",134.0,3479.0,605496.0,T:Total,Y15-24:From 15 to 24 years,3.4,ICCS050211,99,Graz,M,Theft of a motorized land vehicle,AT,163.50231876015695,174.04311583788444,5.096827172256053,5.159303060690869,1.2237754316221157,4.897839799950911
1508,AT002M,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",131.0,3479.0,613859.0,T:Total,Y15-24:From 15 to 24 years,4.2,ICCS0101,4,Graz,M,Intentional homicide,AT,6.5161543611806625,176.44696751940214,1.8742843800203877,5.173020363911835,1.4350845252893227,4.875197323201151
1509,AT002M,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",131.0,3479.0,613859.0,T:Total,Y15-24:From 15 to 24 years,4.2,ICCS0401,140,Graz,M,Robbery,AT,228.06540264132317,176.44696751940214,5.429632441509801,5.173020363911835,1.4350845252893227,4.875197323201151
1510,AT002M,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",131.0,3479.0,613859.0,T:Total,Y15-24:From 15 to 24 years,4.2,ICCS05012,1047,Graz,M,Burglary of private residential premises,AT,1705.6034040390384,176.44696751940214,7.441674229771034,5.173020363911835,1.4350845252893227,4.875197323201151
1511,AT002M,2015,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",131.0,3479.0,613859.0,T:Total,Y15-24:From 15 to 24 years,4.2,ICCS050211,174,Graz,M,Theft of a motorized land vehicle,AT,283.4527147113588,176.44696751940214,5.647045318115026,5.173020363911835,1.4350845252893227,4.875197323201151
1564,AT002M,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,3479.0,622911.0,T:Total,Y15-24:From 15 to 24 years,4.5,ICCS0101,4,Graz,M,Intentional homicide,AT,6.421463098259623,179.04886461626904,1.8596459886624852,5.187658755269737,1.5040773967762742,4.882801922586371
1565,AT002M,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,3479.0,622911.0,T:Total,Y15-24:From 15 to 24 years,4.5,ICCS0401,161,Graz,M,Robbery,AT,258.4638897049498,179.04886461626904,5.554755992527057,5.187658755269737,1.5040773967762742,4.882801922586371
1566,AT002M,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,3479.0,622911.0,T:Total,Y15-24:From 15 to 24 years,4.5,ICCS05012,742,Graz,M,Burglary of private residential premises,AT,1191.18140472716,179.04886461626904,7.082700870709975,5.187658755269737,1.5040773967762742,4.882801922586371
1567,AT002M,2016,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,3479.0,622911.0,T:Total,Y15-24:From 15 to 24 years,4.5,ICCS050211,154,Graz,M,Theft of a motorized land vehicle,AT,247.22632928299547,179.04886461626904,5.5103042299562235,5.187658755269737,1.5040773967762742,4.882801922586371
1672,AT002M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",130.0,3479.0,629161.0,T:Total,Y15-24:From 15 to 24 years,3.3,ICCS0101,5,Graz,M,Intentional homicide,AT,7.94709144400241,180.84535786145443,2.0728060056242437,5.1976422896221885,1.1939224684724346,4.867534450455582
1673,AT002M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",130.0,3479.0,629161.0,T:Total,Y15-24:From 15 to 24 years,3.3,ICCS0401,137,Graz,M,Robbery,AT,217.75030556566603,180.84535786145443,5.383349019018269,5.1976422896221885,1.1939224684724346,4.867534450455582
1674,AT002M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",130.0,3479.0,629161.0,T:Total,Y15-24:From 15 to 24 years,3.3,ICCS05012,822,Graz,M,Burglary of private residential premises,AT,1306.5018333939963,180.84535786145443,7.175108488246323,5.1976422896221885,1.1939224684724346,4.867534450455582
1675,AT002M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",130.0,3479.0,629161.0,T:Total,Y15-24:From 15 to 24 years,3.3,ICCS050211,146,Graz,M,Theft of a motorized land vehicle,AT,232.05507016487036,180.84535786145443,5.44697471489848,5.1976422896221885,1.1939224684724346,4.867534450455582
1676,AT002M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",130.0,3479.0,629161.0,T:Total,Y15-74:From 15 to 74 years,16.6,ICCS0101,5,Graz,M,Intentional homicide,AT,7.94709144400241,180.84535786145443,2.0728060056242437,5.1976422896221885,2.8094026953624978,4.867534450455582
1677,AT002M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",130.0,3479.0,629161.0,T:Total,Y15-74:From 15 to 74 years,16.6,ICCS0401,137,Graz,M,Robbery,AT,217.75030556566603,180.84535786145443,5.383349019018269,5.1976422896221885,2.8094026953624978,4.867534450455582
1678,AT002M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",130.0,3479.0,629161.0,T:Total,Y15-74:From 15 to 74 years,16.6,ICCS05012,822,Graz,M,Burglary of private residential premises,AT,1306.5018333939963,180.84535786145443,7.175108488246323,5.1976422896221885,2.8094026953624978,4.867534450455582
1679,AT002M,2017,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",130.0,3479.0,629161.0,T:Total,Y15-74:From 15 to 74 years,16.6,ICCS050211,146,Graz,M,Theft of a motorized land vehicle,AT,232.05507016487036,180.84535786145443,5.44697471489848,5.1976422896221885,2.8094026953624978,4.867534450455582
1784,AT002M,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",128.0,3479.0,633336.0,T:Total,Y15-24:From 15 to 24 years,3.0,ICCS0101,4,Graz,M,Intentional homicide,AT,6.3157628809983954,182.04541534923828,1.843048553098154,5.2042561908340685,1.0986122886681098,4.852030263919617
1785,AT002M,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",128.0,3479.0,633336.0,T:Total,Y15-24:From 15 to 24 years,3.0,ICCS0401,116,Graz,M,Robbery,AT,183.15712354895348,182.04541534923828,5.210344383084628,5.2042561908340685,1.0986122886681098,4.852030263919617
1786,AT002M,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",128.0,3479.0,633336.0,T:Total,Y15-24:From 15 to 24 years,3.0,ICCS05012,692,Graz,M,Burglary of private residential premises,AT,1092.6269784127226,182.04541534923828,6.996340147595933,5.2042561908340685,1.0986122886681098,4.852030263919617
1787,AT002M,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",128.0,3479.0,633336.0,T:Total,Y15-24:From 15 to 24 years,3.0,ICCS050211,109,Graz,M,Theft of a motorized land vehicle,AT,172.10453850720629,182.04541534923828,5.148102074207407,5.2042561908340685,1.0986122886681098,4.852030263919617
1788,AT002M,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",128.0,3479.0,633336.0,T:Total,Y15-74:From 15 to 74 years,14.8,ICCS0101,4,Graz,M,Intentional homicide,AT,6.3157628809983954,182.04541534923828,1.843048553098154,5.2042561908340685,2.6946271807700692,4.852030263919617
1789,AT002M,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",128.0,3479.0,633336.0,T:Total,Y15-74:From 15 to 74 years,14.8,ICCS0401,116,Graz,M,Robbery,AT,183.15712354895348,182.04541534923828,5.210344383084628,5.2042561908340685,2.6946271807700692,4.852030263919617
1790,AT002M,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",128.0,3479.0,633336.0,T:Total,Y15-74:From 15 to 74 years,14.8,ICCS05012,692,Graz,M,Burglary of private residential premises,AT,1092.6269784127226,182.04541534923828,6.996340147595933,5.2042561908340685,2.6946271807700692,4.852030263919617
1791,AT002M,2018,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",128.0,3479.0,633336.0,T:Total,Y15-74:From 15 to 74 years,14.8,ICCS050211,109,Graz,M,Theft of a motorized land vehicle,AT,172.10453850720629,182.04541534923828,5.148102074207407,5.2042561908340685,2.6946271807700692,4.852030263919617
