,Unnamed: 0,metroreg,unit,gdp,area,population,dfunemp_sex,dfunemp_age,unemp per Tsd.,iccs,Nr_Crimes,metroreg_d,metroreg_type,iccs_d,country,crime/population,density,crime/population_log,density_log,unemp_log,gdp_log,year,crimes,unemployment
3000,92964,IT501M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",61.0,3266.0,645296.0,T:Total,Y15-24:From 15 to 24 years,11.3,ICCS0401,233,Messina,M,Robbery,IT,361.0746076219285,197.579914268218,5.889084606292542,5.286143131707022,2.424802725718295,4.110873864173311,2015,361.0746076219285,11.3
1794,56271,ES001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",125.0,8031.0,6385298.0,T:Total,Y15-24:From 15 to 24 years,97.1,ICCS0401,17454,Madrid,M,Robbery,ES,2733.4667857318486,795.0813099240444,7.913325967440617,6.678444386058452,4.575741375297279,4.8283137373023015,2015,2733.4667857318486,97.1
3462,109414,NL008M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",102.0,1504.0,626525.0,T:Total,Y15-24:From 15 to 24 years,6.4,ICCS0401,157,Enschede,N,Robbery,NL,250.58856390407405,416.5724734042553,5.523812406560626,6.03206045224217,1.8562979903656265,4.624972813284271,2016,250.58856390407405,6.4
2964,91892,IT028M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",110.0,2144.0,933700.0,T:Total,Y15-24:From 15 to 24 years,5.1,ICCS0401,262,Padova,M,Robbery,IT,280.6040484095534,435.4944029850746,5.636944595253354,6.0764819442813245,1.62924053973028,4.700480365792417,2020,280.6040484095534,5.1
1975,60774,ES007M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",69.0,11314.0,1504869.0,T:Total,Y15-24:From 15 to 24 years,21.2,ICCS0401,1207,Murcia - Cartagena,M,Robbery,ES,802.0631696180864,133.00945730952802,6.68718736987454,4.890420233284165,3.054001181677967,4.23410650459726,2020,802.0631696180864,21.2
4332,136217,SK_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",64.0,40228.0,4002813.0,T:Total,Y15-24:From 15 to 24 years,49.9,ICCS0401,421,Non-metropolitan regions in Slovakia,N,Robbery,SK,105.176034953419,99.50315700507107,4.6556354697269,4.600189372355384,3.910021002757473,4.158883083359672,2014,105.176034953419,49.9
2640,80748,IT003M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",67.0,1179.0,3113898.0,T:Total,Y15-24:From 15 to 24 years,49.6,ICCS0401,6607,Napoli,M,Robbery,IT,2121.7779130851427,2641.1348600508904,7.660009654453197,7.878963975003592,3.903990833730882,4.204692619390966,2016,2121.7779130851427,49.6
3429,108739,NL006M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",109.0,933.0,478957.0,T:Total,Y15-24:From 15 to 24 years,3.6,ICCS0401,222,Tilburg,N,Robbery,NL,463.5071624383817,513.3515541264737,6.138821837828007,6.240960901161203,1.2809338454620642,4.691347882229144,2019,463.5071624383817,3.6
3465,109495,NL008M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",103.0,1504.0,627209.0,T:Total,Y15-24:From 15 to 24 years,5.0,ICCS0401,104,Enschede,N,Robbery,NL,165.8139471850691,417.0272606382979,5.110866359700469,6.033151592895393,1.6094379124341005,4.634728988229636,2017,165.8139471850691,5.0
2696,82652,IT005M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",65.0,5009.0,1271406.0,T:Total,Y15-24:From 15 to 24 years,25.0,ICCS0401,1156,Palermo,M,Robbery,IT,909.2296245259186,253.82431623078455,6.812597674516113,5.536642359322866,3.218875824868201,4.174387269895637,2016,909.2296245259186,25.0
2342,69776,ES510M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",118.0,1980.0,710281.0,T:Total,Y15-24:From 15 to 24 years,4.4,ICCS0401,349,Guipúzcoa,M,Robbery,ES,491.354829989821,358.72777777777776,6.197166534799444,5.882563821678676,1.4816045409242156,4.770684624465665,2018,491.354829989821,4.4
61,2125,AT003M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",144.0,4404.0,772849.0,T:Total,Y15-24:From 15 to 24 years,5.2,ICCS0401,174,Linz,M,Robbery,AT,225.1410042582704,175.48796548592188,5.416726891511319,5.1675704678249135,1.6486586255873816,4.969813299576001,2015,225.1410042582704,5.2
73,2401,AT003M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",141.0,4404.0,795512.0,T:Total,Y15-24:From 15 to 24 years,3.9,ICCS0401,234,Linz,M,Robbery,AT,294.1501825239594,180.63396911898275,5.684090461823478,5.196472713655927,1.3609765531356006,4.948759890378168,2018,294.1501825239594,3.9
1771,54996,EL002M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",57.0,3683.0,1109969.0,T:Total,Y15-24:From 15 to 24 years,10.5,ICCS0401,569,Thessaloniki,M,Robbery,EL,512.6269292205458,301.37632364919904,6.239548347120008,5.708359728525532,2.3513752571634776,4.04305126783455,2016,512.6269292205458,10.5
2472,73640,FI_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",92.0,303320.0,2853218.0,T:Total,Y15-24:From 15 to 24 years,28.1,ICCS0401,671,Non-metropolitan regions in Finland,N,Robbery,FI,235.17305722871507,9.406626664908348,5.4603216568638215,2.2414144052572627,3.3357695763397,4.5217885770490405,2019,235.17305722871507,28.1
2940,91004,IT028M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",113.0,2144.0,936233.0,T:Total,Y15-24:From 15 to 24 years,6.4,ICCS0401,369,Padova,M,Robbery,IT,394.1326571483808,436.6758395522388,5.976687545899477,6.079191133914632,1.8562979903656265,4.727387818712341,2014,394.1326571483808,6.4
4110,129844,SE001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",165.0,7153.0,2344124.0,T:Total,Y15-24:From 15 to 24 years,28.2,ICCS0401,3064,Stockholm,M,Robbery,SE,1307.0980886676643,327.71200894729486,7.175564759521035,5.792135201195338,3.339321977944068,5.10594547390058,2019,1307.0980886676643,28.2
3348,106849,NL001M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",129.0,418.0,1103368.0,T:Total,Y15-24:From 15 to 24 years,5.6,ICCS0401,703,s' Gravenhage,N,Robbery,NL,637.1401019424163,2639.6363636363635,6.456989571643822,7.878396445606361,1.7227665977411035,4.859812404361672,2019,637.1401019424163,5.6
2442,72888,FI003M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",103.0,10910.0,470880.0,T:Total,Y15-24:From 15 to 24 years,6.4,ICCS0401,125,Turku,M,Robbery,FI,265.46041454298336,43.16040329972503,5.581465731799276,3.764923484640183,1.8562979903656265,4.634728988229636,2014,265.46041454298336,6.4
2816,86796,IT009M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",136.0,3703.0,1011291.0,T:Total,Y15-24:From 15 to 24 years,3.5,ICCS0401,688,Bologna,M,Robbery,IT,680.3185235505903,273.10045908722657,6.522561105483325,5.60983970950068,1.252762968495368,4.912654885736052,2018,680.3185235505903,3.5
1638,50820,DK001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",155.0,2779.0,2045259.0,T:Total,Y15-24:From 15 to 24 years,14.9,ICCS0401,915,København,M,Robbery,DK,447.3761024887313,735.9694134580784,6.103399633433488,6.601188560063803,2.7013612129514133,5.043425116919247,2019,447.3761024887313,14.9
2484,74372,HR005M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",54.0,4540.0,447723.0,T:Total,Y15-24:From 15 to 24 years,3.0,ICCS0401,130,Split,M,Robbery,HR,290.35810087933834,98.61740088105726,5.671114991822645,4.591247725561818,1.0986122886681098,3.9889840465642745,2019,290.35810087933834,3.0
1746,53200,DK_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",111.0,22946.0,1782019.0,T:Total,Y15-24:From 15 to 24 years,12.2,ICCS0401,300,Non-metropolitan regions in Denmark,N,Robbery,DK,168.34837338995823,77.6614224701473,5.126035483487096,4.352358640774292,2.501435951739211,4.709530201312334,2019,168.34837338995823,12.2
974,31612,DE038M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",98.0,4438.0,5111530.0,T:Total,Y15-24:From 15 to 24 years,19.8,ICCS0401,3574,Ruhrgebiet,M,Robbery,DE,699.20356527302,1151.764308246958,6.5499419234030105,7.049050226788097,2.9856819377004897,4.584967478670572,2019,699.20356527302,19.8
602,21196,DE005M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",171.0,4305.0,2693115.0,T:Total,Y15-24:From 15 to 24 years,9.1,ICCS0401,1414,Frankfurt am Main,M,Robbery,DE,525.042562237409,625.5783972125436,6.263479330233952,6.438676657325009,2.2082744135228043,5.14166355650266,2018,525.042562237409,9.1
2102,63840,ES013M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",80.0,10601.0,1027624.0,T:Total,Y15-24:From 15 to 24 years,6.7,ICCS0401,355,Oviedo - Gijón,M,Robbery,ES,345.45709325589905,96.93651542307327,5.844868448103354,4.5740562840632375,1.9021075263969205,4.382026634673881,2018,345.45709325589905,6.7
3164,99288,LT002M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",75.0,8086.0,587238.0,T:Total,Y15-24:From 15 to 24 years,4.0,ICCS0401,356,Kaunas,M,Robbery,LT,606.227798609763,72.624041553302,6.407255820731258,4.28529601788433,1.3862943611198906,4.31748811353631,2014,606.227798609763,4.0
1646,50992,DK002M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",111.0,5842.0,851769.0,T:Total,Y15-24:From 15 to 24 years,9.0,ICCS0401,305,Århus,M,Robbery,DK,358.07830526821243,145.80092434097912,5.880751692282302,4.982242159341698,2.19722457733622,4.709530201312334,2014,358.07830526821243,9.0
53,2009,AT002M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",129.0,3479.0,642134.0,T:Total,Y15-24:From 15 to 24 years,3.8,ICCS0401,111,Graz,M,Robbery,AT,172.86111621561855,184.57430296062088,5.152488475642638,5.218052108482028,1.33500106673234,4.859812404361672,2020,172.86111621561855,3.8
1905,59010,ES005M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",99.0,17275.0,961940.0,T:Total,Y15-24:From 15 to 24 years,10.8,ICCS0401,843,Zaragoza,M,Robbery,ES,876.3540345551698,55.683936324167874,6.7757701583257495,4.019691709004509,2.379546134130174,4.59511985013459,2016,876.3540345551698,10.8
3294,104874,MT001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",104.0,247.0,442978.0,T:Total,Y15-24:From 15 to 24 years,2.6,ICCS0401,205,Valletta,M,Robbery,MT,462.7769324887466,1793.4331983805669,6.137245150708126,7.491887049766579,0.9555114450274363,4.6443908991413725,2018,462.7769324887466,2.6
2148,64932,ES015M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",84.0,5326.0,582504.0,T:Total,Y15-24:From 15 to 24 years,4.0,ICCS0401,214,Santander,M,Robbery,ES,367.37945147157785,109.36988358993617,5.906395241634921,4.694735564977328,1.3862943611198906,4.430816798843313,2016,367.37945147157785,4.0
25,1393,AT001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",132.0,8817.0,2873995.0,T:Total,Y15-24:From 15 to 24 years,20.8,ICCS0401,1269,Wien,M,Robbery,AT,441.5456533501276,325.9606442100488,6.0902814197946284,5.786776650797007,3.0349529867072724,4.882801922586371,2020,441.5456533501276,20.8
505,17865,CZ_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",69.0,44016.0,5001503.0,T:Total,Y15-24:From 15 to 24 years,31.0,ICCS0401,1100,Non-metropolitan regions in Czech Republic,N,Robbery,CZ,219.9338878733053,113.62920301708468,5.393326991523489,4.732940542062891,3.4339872044851463,4.23410650459726,2014,219.9338878733053,31.0
3363,107269,NL003M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",133.0,2010.0,1835354.0,T:Total,Y15-24:From 15 to 24 years,14.6,ICCS0401,1454,Rotterdam,N,Robbery,NL,792.217741100627,913.1114427860696,6.674836279661404,6.816857935343213,2.681021528714291,4.890349128221754,2018,792.217741100627,14.6
2776,85348,IT008M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",73.0,3863.0,1266379.0,T:Total,Y15-24:From 15 to 24 years,17.4,ICCS0401,1328,Bari,M,Robbery,IT,1048.6592086571238,327.82267667615844,6.955267683027612,5.79247284230676,2.856470206220483,4.290459441148391,2015,1048.6592086571238,17.4
4204,132564,SI001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",117.0,2334.0,534518.0,T:Total,Y15-24:From 15 to 24 years,2.8,ICCS0401,147,Ljubljana,M,Robbery,SI,275.0141248751211,229.01371036846612,5.616822459529787,5.433781872366723,1.029619417181158,4.762173934797756,2015,275.0141248751211,2.8
2510,75212,HU004M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",48.0,4429.0,363721.0,T:Total,Y15-24:From 15 to 24 years,3.0,ICCS0401,21,Pécs,M,Robbery,HU,57.73656181523751,82.12260103860916,4.055890626483982,4.408213265280517,1.0986122886681098,3.871201010907891,2018,57.73656181523751,3.0
1698,52164,DK003M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",101.0,3479.0,498506.0,T:Total,Y15-24:From 15 to 24 years,4.0,ICCS0401,105,Odense,M,Robbery,DK,210.62936052926145,143.29002586950273,5.350100003701876,4.96487072926798,1.3862943611198906,4.61512051684126,2020,210.62936052926145,4.0
4197,131776,SE_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",103.0,391583.0,4463087.0,T:Total,Y15-24:From 15 to 24 years,60.8,ICCS0401,2380,Non-metropolitan regions in Sweden,N,Robbery,SE,533.2631875650195,11.397550455458996,6.2790150875942246,2.4333984599839256,4.107589788972121,4.634728988229636,2020,533.2631875650195,60.8
494,17556,CZ004M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",83.0,7649.0,580816.0,T:Total,Y15-24:From 15 to 24 years,0.7,ICCS0401,87,Plzen,M,Robbery,CZ,149.78926200380155,75.93358608968492,5.009229386296213,4.329859091000778,-0.3566749439387324,4.418840607796598,2018,149.78926200380155,0.7
2538,75996,HU_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",57.0,63854.0,4780705.0,T:Total,Y15-24:From 15 to 24 years,20.0,ICCS0401,229,Non-metropolitan regions in Hungary,N,Robbery,HU,47.90088491132584,74.86931124126914,3.869133978386639,4.315744076804916,2.995732273553991,4.04305126783455,2020,47.90088491132584,20.0
3184,99848,LT002M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",86.0,8086.0,561430.0,T:Total,Y15-24:From 15 to 24 years,2.2,ICCS0401,143,Kaunas,M,Robbery,LT,254.7067310261297,69.4323522137027,5.540112808908026,4.240352929115439,0.7884573603642703,4.454347296253507,2019,254.7067310261297,2.2
3492,110125,NL009M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",108.0,959.0,738436.0,T:Total,Y15-24:From 15 to 24 years,4.6,ICCS0401,334,Arnhem - Nijmegen,N,Robbery,NL,452.3073089611016,770.0062565172054,6.114361835895798,6.646398640161739,1.5260563034950492,4.68213122712422,2019,452.3073089611016,4.6
3108,96716,IT511M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",112.0,2746.0,1107441.0,T:Total,Y15-24:From 15 to 24 years,8.5,ICCS0401,566,Bergamo,M,Robbery,IT,511.0881753520052,403.2924253459578,6.236542129822791,5.99966192001675,2.1400661634962708,4.718498871295094,2014,511.0881753520052,8.5
2920,90268,IT022M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",63.0,2467.0,586061.0,T:Total,Y15-24:From 15 to 24 years,8.0,ICCS0401,198,Taranto,M,Robbery,IT,337.848790484267,237.5601945683016,5.822598429954087,5.470421042175365,2.079441541679836,4.143134726391533,2016,337.848790484267,8.0
1654,51104,DK002M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",114.0,5842.0,865830.0,T:Total,Y15-24:From 15 to 24 years,8.4,ICCS0401,277,Århus,M,Robbery,DK,319.9242345495074,148.20780554604588,5.768084200727244,4.998615380476682,2.128231705849268,4.736198448394496,2016,319.9242345495074,8.4
2056,62748,ES010M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",80.0,3640.0,941339.0,T:Total,Y15-24:From 15 to 24 years,13.3,ICCS0401,606,Palma de Mallorca,M,Robbery,ES,643.763830033601,258.6096153846154,6.467331935294519,5.5553196481082825,2.5877640352277083,4.382026634673881,2020,643.763830033601,13.3
2936,90940,IT022M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",60.0,2467.0,563995.0,T:Total,Y15-24:From 15 to 24 years,3.8,ICCS0401,117,Taranto,M,Robbery,IT,207.4486475943936,228.61572760437775,5.3348838275693575,5.432042548663316,1.33500106673234,4.0943445622221,2020,207.4486475943936,3.8
2480,74316,HR005M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",51.0,4540.0,448812.0,T:Total,Y15-24:From 15 to 24 years,5.2,ICCS0401,75,Split,M,Robbery,HR,167.10783134140797,98.85726872246696,5.1186393006995,4.593677079765691,1.6486586255873816,3.9318256327243257,2018,167.10783134140797,5.2
1734,52896,DK_NM,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",112.0,22946.0,1761399.0,T:Total,Y15-24:From 15 to 24 years,15.5,ICCS0401,367,Non-metropolitan regions in Denmark,N,Robbery,DK,208.35710704956685,76.7627909003748,5.339253468395724,4.340720029264032,2.740840023925201,4.718498871295094,2015,208.35710704956685,15.5
550,19740,DE002M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",151.0,7308.0,3282164.0,T:Total,Y15-24:From 15 to 24 years,12.4,ICCS0401,2710,Hamburg,M,Robbery,DE,825.6747682321785,449.1193212917351,6.716200952923509,6.107288601416615,2.517696472610991,5.017279836814924,2017,825.6747682321785,12.4
2864,88364,IT011M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",108.0,2473.0,855696.0,T:Total,Y15-24:From 15 to 24 years,4.2,ICCS0401,278,Venezia,M,Robbery,IT,324.88173369981865,346.0153659522847,5.783461219795159,5.846483184338337,1.4350845252893227,4.68213122712422,2016,324.88173369981865,4.2
1898,58860,ES005M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",98.0,17275.0,968553.0,T:Total,Y15-24:From 15 to 24 years,16.4,ICCS0401,814,Zaragoza,M,Robbery,ES,840.4289698137325,56.06674384949349,6.733912439835229,4.0265428354957145,2.797281334830153,4.584967478670572,2014,840.4289698137325,16.4
288,10569,BG001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",91.0,10797.0,1681666.0,T:Total,Y15-24:From 15 to 24 years,5.9,ICCS0401,849,Sofia,M,Robbery,BG,504.8564935010876,155.7530795591368,6.224274217606074,5.048271929922406,1.7749523509116738,4.51085950651685,2015,504.8564935010876,5.9
2772,85292,IT008M,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",72.0,3863.0,1261964.0,T:Total,Y15-24:From 15 to 24 years,22.0,ICCS0401,1312,Bari,M,Robbery,IT,1039.6493085381198,326.6797825524204,6.946638731940861,5.788980432861166,3.091042453358316,4.276666119016055,2014,1039.6493085381198,22.0
4210,132713,SI001MC,"PPS_HAB_EU27_2020:Purchasing power standard (PPS, EU27 from 2020), per inhabitant in percentage of the EU27 (from 2020) average",120.0,2334.0,539672.0,T:Total,Y15-24:From 15 to 24 years,2.1,ICCS0401,137,Ljubljana,M,Robbery,SI,253.85789887190737,231.22193658954583,5.536774657205962,5.443378013739936,0.7419373447293773,4.787491742782046,2017,253.85789887190737,2.1
