DATAFLOW,LAST UPDATE,freq,unit,sex,age,icd10,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DE:Germany,2017,2.27,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DE:Germany,2018,2.31,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DE:Germany,2019,2.15,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DE:Germany,2020,2.39,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DK:Denmark,2011,5.96,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DK:Denmark,2012,5.58,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DK:Denmark,2013,5.95,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DK:Denmark,2014,5,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DK:Denmark,2015,5.23,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DK:Denmark,2016,5.64,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DK:Denmark,2017,4.22,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DK:Denmark,2018,3.5,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DK:Denmark,2019,3.41,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,DK:Denmark,2020,3.85,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA19:Euro area - 19 countries  (2015-2022),2011,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA19:Euro area - 19 countries  (2015-2022),2012,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA19:Euro area - 19 countries  (2015-2022),2013,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA19:Euro area - 19 countries  (2015-2022),2014,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA19:Euro area - 19 countries  (2015-2022),2015,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA19:Euro area - 19 countries  (2015-2022),2016,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA19:Euro area - 19 countries  (2015-2022),2017,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA19:Euro area - 19 countries  (2015-2022),2018,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA19:Euro area - 19 countries  (2015-2022),2019,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA19:Euro area - 19 countries  (2015-2022),2020,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA20:Euro area – 20 countries (from 2023),2011,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA20:Euro area – 20 countries (from 2023),2012,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA20:Euro area – 20 countries (from 2023),2013,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA20:Euro area – 20 countries (from 2023),2014,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA20:Euro area – 20 countries (from 2023),2015,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA20:Euro area – 20 countries (from 2023),2016,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA20:Euro area – 20 countries (from 2023),2017,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA20:Euro area – 20 countries (from 2023),2018,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA20:Euro area – 20 countries (from 2023),2019,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EA20:Euro area – 20 countries (from 2023),2020,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EE:Estonia,2011,3.17,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EE:Estonia,2012,2.96,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EE:Estonia,2013,1.41,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EE:Estonia,2014,1.13,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EE:Estonia,2015,1.02,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EE:Estonia,2016,1.28,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EE:Estonia,2017,1.19,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EE:Estonia,2018,0.79,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EE:Estonia,2019,0.81,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EE:Estonia,2020,2.86,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EL:Greece,2011,0.08,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EL:Greece,2012,,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EL:Greece,2013,0.02,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EL:Greece,2014,0.01,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EL:Greece,2015,0.07,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EL:Greece,2016,0.06,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EL:Greece,2017,0.12,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EL:Greece,2018,0.09,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EL:Greece,2019,0.05,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EL:Greece,2020,0.2,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,ES:Spain,2011,0.19,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,ES:Spain,2012,0.22,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,ES:Spain,2013,0.13,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,ES:Spain,2014,0.14,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,ES:Spain,2015,0.13,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,ES:Spain,2016,0.13,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,ES:Spain,2017,0.13,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,ES:Spain,2018,0.12,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,ES:Spain,2019,0.07,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,ES:Spain,2020,0.11,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EU27_2020:European Union - 27 countries (from 2020),2011,1.2,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EU27_2020:European Union - 27 countries (from 2020),2012,1.17,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EU27_2020:European Union - 27 countries (from 2020),2013,1.21,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EU27_2020:European Union - 27 countries (from 2020),2014,1.16,
ESTAT:TPS00140(1.0),18/10/23 23:00:00,A:Annual,RT:Rate,F:Females,TOTAL:Total,F10:Mental and behavioural disorders due to use of alcohol,EU27_2020:European Union - 27 countries (from 2020),2015,1.24,
