DATAFLOW,LAST UPDATE,freq,unit,iccs,metroreg,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT001MC:Wien,2010,25,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT001MC:Wien,2011,33,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT001MC:Wien,2012,34,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT001MC:Wien,2013,30,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT001MC:Wien,2014,12,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT001MC:Wien,2015,11,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT001MC:Wien,2016,21,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT001MC:Wien,2017,18,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT001MC:Wien,2018,41,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT001MC:Wien,2019,32,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT001MC:Wien,2020,18,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT002M:Graz,2008,3,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT002M:Graz,2009,1,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT002M:Graz,2010,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT002M:Graz,2011,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT002M:Graz,2012,1,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT002M:Graz,2013,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT002M:Graz,2014,3,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT002M:Graz,2015,4,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT002M:Graz,2016,4,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT002M:Graz,2017,5,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT002M:Graz,2018,4,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT002M:Graz,2019,3,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT002M:Graz,2020,1,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT003M:Linz,2008,10,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT003M:Linz,2009,3,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT003M:Linz,2010,7,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT003M:Linz,2011,6,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT003M:Linz,2012,10,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT003M:Linz,2013,4,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT003M:Linz,2014,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT003M:Linz,2015,6,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT003M:Linz,2016,5,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT003M:Linz,2017,3,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT003M:Linz,2018,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT003M:Linz,2019,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT003M:Linz,2020,7,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT004M:Salzburg,2008,3,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT004M:Salzburg,2009,4,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT004M:Salzburg,2010,5,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT004M:Salzburg,2011,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT004M:Salzburg,2012,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT004M:Salzburg,2013,4,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT004M:Salzburg,2014,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT004M:Salzburg,2015,3,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT004M:Salzburg,2016,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT004M:Salzburg,2017,5,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT004M:Salzburg,2018,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT004M:Salzburg,2019,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT004M:Salzburg,2020,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT005M:Innsbruck,2008,1,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT005M:Innsbruck,2009,1,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT005M:Innsbruck,2010,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT005M:Innsbruck,2011,5,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT005M:Innsbruck,2012,7,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT005M:Innsbruck,2013,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT005M:Innsbruck,2014,3,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT005M:Innsbruck,2015,4,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT005M:Innsbruck,2016,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT005M:Innsbruck,2017,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT005M:Innsbruck,2018,1,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT005M:Innsbruck,2019,4,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT005M:Innsbruck,2020,0,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT_NM:Non-metropolitan regions in Austria,2008,17,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT_NM:Non-metropolitan regions in Austria,2009,19,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT_NM:Non-metropolitan regions in Austria,2010,18,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT_NM:Non-metropolitan regions in Austria,2011,34,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT_NM:Non-metropolitan regions in Austria,2012,34,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT_NM:Non-metropolitan regions in Austria,2013,20,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT_NM:Non-metropolitan regions in Austria,2014,18,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT_NM:Non-metropolitan regions in Austria,2015,14,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT_NM:Non-metropolitan regions in Austria,2016,15,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT_NM:Non-metropolitan regions in Austria,2017,28,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT_NM:Non-metropolitan regions in Austria,2018,23,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT_NM:Non-metropolitan regions in Austria,2019,31,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,AT_NM:Non-metropolitan regions in Austria,2020,26,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE:Belgium,2008,204,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE:Belgium,2009,189,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE:Belgium,2010,189,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE:Belgium,2011,214,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE:Belgium,2012,206,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE:Belgium,2013,204,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE:Belgium,2014,210,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE:Belgium,2015,231,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE:Belgium,2016,175,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE:Belgium,2017,198,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE:Belgium,2018,192,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE:Belgium,2019,146,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE:Belgium,2020,145,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE001MC:Bruxelles / Brussel,2008,65,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE001MC:Bruxelles / Brussel,2009,45,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE001MC:Bruxelles / Brussel,2010,56,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE001MC:Bruxelles / Brussel,2011,48,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE001MC:Bruxelles / Brussel,2012,58,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE001MC:Bruxelles / Brussel,2013,66,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE001MC:Bruxelles / Brussel,2014,60,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE001MC:Bruxelles / Brussel,2015,64,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE001MC:Bruxelles / Brussel,2016,48,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE001MC:Bruxelles / Brussel,2017,43,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE001MC:Bruxelles / Brussel,2018,51,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE001MC:Bruxelles / Brussel,2019,39,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE001MC:Bruxelles / Brussel,2020,49,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE002M:Antwerpen,2008,25,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE002M:Antwerpen,2009,28,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE002M:Antwerpen,2010,22,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE002M:Antwerpen,2011,32,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE002M:Antwerpen,2012,26,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE002M:Antwerpen,2013,23,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE002M:Antwerpen,2014,12,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE002M:Antwerpen,2015,17,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE002M:Antwerpen,2016,8,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE002M:Antwerpen,2017,18,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE002M:Antwerpen,2018,11,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE002M:Antwerpen,2019,13,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE002M:Antwerpen,2020,15,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE003M:Gent,2008,5,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE003M:Gent,2009,13,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE003M:Gent,2010,5,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE003M:Gent,2011,7,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE003M:Gent,2012,8,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE003M:Gent,2013,9,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE003M:Gent,2014,7,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE003M:Gent,2015,11,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE003M:Gent,2016,4,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE003M:Gent,2017,8,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE003M:Gent,2018,6,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE003M:Gent,2019,8,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE003M:Gent,2020,2,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE004M:Charleroi,2008,13,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE004M:Charleroi,2009,14,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE004M:Charleroi,2010,15,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE004M:Charleroi,2011,15,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE004M:Charleroi,2012,12,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE004M:Charleroi,2013,17,
ESTAT:MET_CRIM_GEN(1.0),07/12/23 23:00:00,A:Annual,NR:Number,ICCS0101:Intentional homicide,BE004M:Charleroi,2014,24,
